City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
92,Kloulklubed,PW,79.14,Clouds,7.0419,134.2556,Storyboard Beach Resort
94,Geraldton,AU,75.61,Rain,-28.7667,114.6,Broadwater Mariner Resort
96,Souillac,MU,79.18,Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
100,Nouadhibou,MR,75.18,Sand,20.931,-17.0347,El Medina
102,Cabo San Lucas,MX,81.61,Clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
108,Pathein,MM,75.83,Clouds,16.7833,94.7333,Pathein Hotel
118,Gewane,ET,85.84,Clear,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
119,Makasar,ID,75.25,Clouds,-5.14,119.4221,Aryaduta Makassar
121,Koumac,NC,78.21,Clear,-20.5667,164.2833,Le Monitel
122,Vao,NC,78.6,Clear,-22.6667,167.4833,Hotel Kou-Bugny
123,Agrestina,BR,78.67,Clouds,-8.4581,-35.9447,Hotel e Restaurante Portal do Agreste
125,Atuona,PF,78.55,Clouds,-9.8,-139.0333,Villa Enata
132,Faanui,PF,82.35,Clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
133,San Patricio,US,78.89,Clear,28.017,-97.5169,"Motel 6 Sinton, TX"
138,Luganville,VU,78.96,Clouds,-15.5333,167.1667,The Espiritu Hotel
142,Hualmay,PE,75.13,Clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
149,Jacareacanga,BR,77.94,Clouds,-6.2222,-57.7528,Casa do Ian😎
152,Parrita,CR,86.9,Clouds,9.5201,-84.3225,Beso del Viento
156,Potam,MX,80.71,Clouds,27.6,-110.3833,Ejido La Pimienta
159,Pimentel,PE,82.69,Clear,-6.8367,-79.9342,Hotel Puerto del Sol
164,Touros,BR,80.19,Clouds,-5.1989,-35.4608,INN NEW HORIZON
171,Tautira,PF,80.89,Clouds,-17.7333,-149.15,Pension Oaoa
