City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Muros,ES,42.7762,-9.0603,58.08,67,35,13.71,Clouds
319,Maceio,BR,-9.6658,-35.7353,81.84,74,75,4.61,Rain
320,Wewak,PG,-3.5534,143.6268,78.64,88,100,7.67,Rain
321,Sembe,CG,1.6481,14.5806,79.32,60,63,1.45,Clouds
322,Puerto El Triunfo,SV,13.2833,-88.55,87.19,55,100,10.76,Clouds
323,Anadyr,RU,64.75,177.4833,7.3,77,75,20.13,Snow
324,Nuuk,GL,64.1835,-51.7216,32.88,80,91,1.99,Clouds
325,Wanning,CN,18.8003,110.3967,74.39,95,100,6.24,Clouds
326,Cayenne,GF,4.9333,-52.3333,84.24,10,75,13.8,Clouds
327,Veraval,IN,20.9,70.3667,76.37,76,0,8.68,Clear
328,Huilong,CN,31.8111,121.655,47.93,65,100,14.03,Clouds
329,Kuryk,KZ,43.2,51.65,53.89,53,44,6.87,Clouds
330,Kaitangata,NZ,-46.2817,169.8464,47.71,73,100,5.12,Clouds
331,Kalianget,ID,-7.05,113.9333,79.02,85,78,5.73,Clouds
332,Suchiapa,MX,16.6167,-93.0833,94.73,23,7,5.19,Clear
333,Cockburn Town,TC,21.4612,-71.1419,76.86,78,32,24.9,Clouds
334,Chumikan,RU,54.7183,135.315,3.7,87,69,7.18,Clouds
335,Khandbari,NP,27.3747,87.2039,67.89,85,97,0.56,Clouds
336,Lermontovka,RU,47.1453,134.3383,20.79,91,83,4.32,Clouds
337,Lorengau,PG,-2.0226,147.2712,80.06,84,100,17.25,Clouds
338,Narsingdi,BD,23.9208,90.7181,84.22,86,6,4.81,Clear
339,La Palma,US,33.8464,-118.0467,65.71,72,75,5.99,Clouds
340,Lasa,IT,46.6166,10.7002,48.69,97,100,3.78,Rain
341,Middle Island,US,40.8843,-72.9373,59.74,84,100,11.99,Clouds
342,Srandakan,ID,-7.9386,110.2506,77.09,88,84,4.25,Rain
343,Mehamn,NO,71.0357,27.8492,26.51,73,100,11.07,Snow
